name,category,subcategory,paragraph
Outdoors Gear,C,Outdoors,"In molestie tortor sit amet orci dapibus, sed pellentesque velit laoreet. Suspendisse blandit mauris finibus sapien pulvinar, nec bibendum ligula tempus. Praesent vitae maximus quam. Morbi at mattis lorem. Nullam cursus consectetur odio, eget convallis ante semper id. Praesent eget velit quam. Nulla et lectus tellus. Aliquam ultrices, est vitae vestibulum scelerisque, urna purus vulputate neque, eu laoreet quam sapien non massa. Nam porttitor sagittis elementum. Cras posuere fermentum justo, at mollis ipsum semper a. Donec id suscipit ipsum, eu ullamcorper turpis. Aenean laoreet nulla id quam fermentum facilisis. Vivamus mauris quam, accumsan at metus ut, ullamcorper luctus sem. Suspendisse in purus semper, suscipit urna nec, tempus lorem. Vivamus venenatis tempus nulla. Mauris sem erat, fringilla id lectus sit amet, vestibulum tempor arcu."
Bedding Doodad,C,Bedding,"Nunc pharetra, tortor eu placerat sagittis, ligula eros gravida neque, luctus interdum purus ipsum et diam. Phasellus quis leo vitae sem commodo tempus a at odio. Nam venenatis metus nibh, malesuada vestibulum purus consectetur eu. Morbi at tincidunt leo, eu rutrum lorem. Pellentesque quis mollis tortor. Interdum et malesuada fames ac ante ipsum primis in faucibus. Phasellus sed erat ac lorem facilisis fermentum. Cras venenatis diam in mi sodales commodo. Integer vitae ipsum sed erat tincidunt euismod in a odio. Donec lacus sapien, mollis nec consequat at, sodales sit amet orci. Donec fermentum neque orci, ac lobortis metus suscipit non. Phasellus vehicula mauris vitae ante rhoncus, et volutpat sapien faucibus. Mauris auctor libero eu hendrerit consectetur. Pellentesque elementum, velit id iaculis fermentum, felis velit molestie neque, at pharetra leo risus vitae mi. In tempor tortor sit amet leo sollicitudin, ultrices commodo turpis posuere. Donec molestie fermentum velit, in blandit lectus pharetra vitae."
Game Contraption,C,Game,"Duis sodales dignissim leo vitae convallis. Praesent rhoncus pulvinar lectus quis suscipit. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nunc ut elementum neque. Cras est ipsum, molestie vel vulputate vulputate, iaculis ac tellus. Nulla consectetur non ante et auctor. Etiam sodales lectus vel lectus scelerisque pretium ut sed felis. Maecenas congue felis vitae sapien dignissim rutrum. Proin in mi ex."
Book Thingamajig,C,Book,"Nam nisl ligula, euismod a turpis sed, ornare commodo odio. Vivamus nec nisl eget libero finibus posuere. Etiam ac libero lacinia, maximus arcu id, maximus diam. Aliquam venenatis nunc justo, at dignissim arcu bibendum non. Sed in enim at felis tempus dictum sed vel mi. Duis at arcu non leo facilisis ullamcorper in sit amet orci. Mauris et libero tincidunt, congue magna ut, gravida dui. Maecenas augue risus, mattis fringilla facilisis nec, maximus sed ligula. Curabitur sit amet felis ac tellus blandit sagittis vel eget arcu. Morbi libero nulla, mattis sed tincidunt eu, laoreet a mauris. Sed ut leo ultricies, eleifend est ut, pellentesque eros."
Beach Gear,C,Beach,"Vivamus fringilla dui quis mi iaculis, eget sodales arcu vulputate. Vivamus sit amet fringilla massa, id maximus libero. Praesent sit amet ex eget massa malesuada laoreet ac non sapien. Nulla vestibulum fringilla nulla, eget ornare urna hendrerit quis. Nulla est augue, lobortis sed magna vitae, dapibus ultrices libero. Aliquam sed feugiat sem. Mauris nunc mauris, pellentesque sit amet erat a, rhoncus placerat purus. Nullam viverra elit lectus, ac pellentesque lorem porttitor vulputate. Phasellus varius dapibus nisi a egestas. Etiam ut purus nunc. Aliquam ultricies, felis vel gravida facilisis, lorem quam blandit diam, vestibulum interdum quam lacus at urna. Maecenas sed justo ipsum."
Storage Equipment,C,Storage,"Nam lorem arcu, pretium quis lectus et, volutpat euismod enim. Suspendisse semper tortor sapien, eu cursus nisi fermentum non. Cras quam orci, tincidunt quis purus vel, molestie posuere urna. Etiam lobortis neque eget ex tempus, eu interdum mi semper. Cras felis enim, rutrum a imperdiet et, vehicula at metus. Praesent bibendum, augue eu aliquam gravida, lectus sapien fringilla ipsum, non tincidunt leo felis eu augue. Aliquam faucibus tortor enim, in convallis elit euismod quis."
Jewelry Tool,C,Jewelry,"In molestie tortor sit amet orci dapibus, sed pellentesque velit laoreet. Suspendisse blandit mauris finibus sapien pulvinar, nec bibendum ligula tempus. Praesent vitae maximus quam. Morbi at mattis lorem. Nullam cursus consectetur odio, eget convallis ante semper id. Praesent eget velit quam. Nulla et lectus tellus. Aliquam ultrices, est vitae vestibulum scelerisque, urna purus vulputate neque, eu laoreet quam sapien non massa. Nam porttitor sagittis elementum. Cras posuere fermentum justo, at mollis ipsum semper a. Donec id suscipit ipsum, eu ullamcorper turpis. Aenean laoreet nulla id quam fermentum facilisis. Vivamus mauris quam, accumsan at metus ut, ullamcorper luctus sem. Suspendisse in purus semper, suscipit urna nec, tempus lorem. Vivamus venenatis tempus nulla. Mauris sem erat, fringilla id lectus sit amet, vestibulum tempor arcu."
Phone Gadget,C,Phone,"Nam consequat massa in dapibus facilisis. Nunc erat justo, bibendum id iaculis nec, rhoncus nec urna. Donec pellentesque magna sed elementum hendrerit. Mauris semper ante nec egestas porttitor. Sed faucibus, lacus a bibendum vestibulum, erat metus interdum odio, ac condimentum nibh felis at erat. Nullam eget placerat ligula, quis tempus orci. Duis id enim sed lectus pellentesque lobortis in sit amet magna. Curabitur at arcu quis est feugiat mollis. Duis suscipit, odio convallis luctus pulvinar, urna turpis vehicula urna, et pulvinar dolor justo id lacus. Duis lorem nunc, varius nec tristique non, tristique porttitor ligula. Sed sit amet leo posuere, tincidunt augue et, eleifend justo. Quisque in dapibus felis, sit amet cursus nulla. Duis sed sem posuere, malesuada nibh eget, scelerisque sem. Sed bibendum egestas lacinia."
Fitness Component,C,Fitness,"Ut venenatis id velit id interdum. Maecenas eu posuere sapien. Integer viverra commodo dui, eu tristique odio efficitur vehicula. Mauris vitae nulla interdum, consectetur nunc eu, maximus nibh. Curabitur id est egestas neque mattis laoreet vel vitae lectus. Quisque et tortor in justo venenatis facilisis a ac quam. Proin pellentesque ac velit a bibendum. Quisque varius semper orci, sit amet auctor metus venenatis sed. Mauris orci ex, convallis efficitur dapibus id, viverra ac nibh."
Medicine Paraphernalia,C,Medicine,"Quisque nec imperdiet lectus. Aliquam justo dolor, vestibulum ac sem nec, facilisis ornare arcu. Nulla cursus dignissim risus et vulputate. Sed placerat urna quis leo sollicitudin efficitur non vitae risus. Quisque fringilla maximus nulla condimentum eleifend. Proin commodo varius lorem nec venenatis. Aliquam ipsum massa, posuere vestibulum venenatis sit amet, sagittis ac nunc."
Beach Doodad,D,Beach,"Nunc congue metus in nisi consequat, at elementum tellus laoreet. Ut sodales, mi non ullamcorper facilisis, tortor justo finibus ligula, a cursus arcu sapien vel purus. Vivamus tincidunt quam dapibus mi condimentum, vitae pharetra neque scelerisque. Mauris maximus a dolor vel pretium. Nulla nec gravida sapien. Nulla sodales mi eu neque porta facilisis. Nulla varius placerat auctor. Praesent quis nisl congue dui pretium tempor. Phasellus luctus nibh vestibulum, dignissim ligula vel, tristique libero. Aliquam porta egestas sapien, nec scelerisque felis semper vitae. Duis mauris leo, elementum at felis non, cursus maximus leo. Duis felis nulla, bibendum sit amet elementum vitae, vestibulum in justo. Mauris ipsum dui, tempor sit amet ligula vel, sollicitudin malesuada est. Morbi tristique mauris at arcu interdum ornare. Etiam non mi a sem pharetra varius."
Sports Paraphernalia,D,Sports,"Pellentesque iaculis turpis felis, eu vestibulum tellus molestie ut. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Phasellus molestie, nisi sit amet blandit gravida, felis libero ultrices risus, vel tincidunt nulla dolor sed ipsum. Integer est tortor, laoreet vitae neque eget, maximus bibendum lacus. Quisque odio ante, faucibus id sem a, vehicula elementum magna. Donec egestas id ligula eu euismod. Nullam aliquam justo a arcu malesuada, sed pulvinar mauris luctus. Nunc egestas elementum laoreet. Sed accumsan pretium interdum. Praesent maximus cursus imperdiet. Vestibulum libero purus, finibus eu maximus a, fermentum eget ex."
Camera Instrument,D,Camera,"Praesent sit amet sem tempor, blandit risus id, aliquam metus. Fusce convallis consequat sodales. Nam dignissim consequat finibus. Sed condimentum finibus neque, ut tincidunt ipsum lobortis vel. Vivamus sed rutrum nisl, sed hendrerit ipsum. Nullam volutpat ut dui nec gravida. In non malesuada tortor. Nullam gravida nulla vel ante condimentum volutpat. Donec et odio ac leo elementum lacinia. Integer consequat vulputate dolor a maximus. Maecenas ut commodo lacus. Donec dictum est nec auctor condimentum. Nam maximus dapibus lacus ut ultricies. Praesent vulputate dapibus risus, quis suscipit arcu pellentesque eget. Nam malesuada lorem ut lacus tincidunt, id pellentesque velit pulvinar. Nulla facilisi."
Computer Whatchamacallit,D,Computer,"Donec elementum volutpat porttitor. Phasellus eget lectus vitae neque convallis accumsan. Cras aliquam lobortis metus id pulvinar. Pellentesque ut volutpat augue. Phasellus feugiat tristique est, vitae laoreet libero maximus quis. Nam fringilla aliquet tellus ac pretium. Quisque pulvinar augue eget nunc mollis, nec luctus ex lobortis. Phasellus a sagittis justo. Cras placerat sem in eros bibendum dapibus et ut nulla. Nulla cursus libero odio, vel volutpat diam vulputate eu. Proin id dolor dolor. Integer ut vehicula odio, eget rhoncus tellus. Integer quis tristique magna, eu fringilla lorem. Cras vehicula, justo sit amet congue fringilla, quam augue interdum nulla, at pretium massa tellus in arcu. Pellentesque vel suscipit metus."
Jewelry Paraphernalia,D,Jewelry,"Curabitur ut dolor scelerisque eros hendrerit vestibulum vel eget massa. Sed finibus dolor at mauris rhoncus, et ornare est venenatis. Maecenas erat magna, viverra a posuere at, pellentesque et eros. Mauris ac sapien a est dictum volutpat. Fusce massa ipsum, ultricies ut commodo vitae, semper sit amet dui. Cras nec turpis eu enim vestibulum condimentum eu eget nunc. Pellentesque faucibus tempor mi eget tincidunt. Integer ipsum ante, eleifend id ante aliquam, feugiat efficitur sapien. Integer tellus nisi, auctor ut sapien id, eleifend ultricies nisl. Aliquam malesuada commodo laoreet. Quisque elementum interdum quam at luctus. Sed luctus molestie augue eu luctus."
Cat Contraption,D,Cat,"Pellentesque iaculis turpis felis, eu vestibulum tellus molestie ut. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Phasellus molestie, nisi sit amet blandit gravida, felis libero ultrices risus, vel tincidunt nulla dolor sed ipsum. Integer est tortor, laoreet vitae neque eget, maximus bibendum lacus. Quisque odio ante, faucibus id sem a, vehicula elementum magna. Donec egestas id ligula eu euismod. Nullam aliquam justo a arcu malesuada, sed pulvinar mauris luctus. Nunc egestas elementum laoreet. Sed accumsan pretium interdum. Praesent maximus cursus imperdiet. Vestibulum libero purus, finibus eu maximus a, fermentum eget ex."
Swimming Doodad,D,Swimming,"Proin finibus risus ut dui vulputate malesuada. Maecenas aliquet egestas aliquet. Morbi dignissim ipsum orci, sit amet malesuada tortor venenatis tempor. Pellentesque molestie elementum nisl, at finibus nisi rutrum quis. Nam in est id purus laoreet tincidunt nec nec justo. Suspendisse porta, orci nec varius convallis, orci erat pellentesque libero, dictum venenatis tortor nunc eget neque. Fusce quis vulputate ante, non iaculis mauris. Phasellus sed est eros. Suspendisse sem justo, iaculis ut urna suscipit, cursus gravida libero. Donec vehicula porttitor nibh et posuere. Phasellus tempus justo a lectus vulputate, auctor accumsan libero interdum."
Movie Doodad,D,Movie,"Curabitur fringilla lacus ac lacus dignissim condimentum mollis in est. Aliquam consectetur, nulla et accumsan eleifend, erat tellus cursus nulla, at faucibus libero lacus nec ante. Aliquam et ex at lorem ornare mollis. In hac habitasse platea dictumst. Aenean pretium viverra eros, at mattis libero. Proin vel dui et ex interdum dapibus. Etiam sit amet porta diam, at interdum enim. Vivamus in est et elit dignissim dignissim. Nam augue augue, pharetra non sagittis in, convallis vitae lectus. Curabitur vulputate massa nec elit feugiat volutpat. Integer accumsan rutrum risus vel dictum. Pellentesque ornare ipsum sed bibendum mollis. Cras enim elit, dignissim eget enim vel, sagittis rutrum purus. Nulla ut laoreet massa, pretium tincidunt quam."
Cooking Item,D,Cooking,"Curabitur ut dolor scelerisque eros hendrerit vestibulum vel eget massa. Sed finibus dolor at mauris rhoncus, et ornare est venenatis. Maecenas erat magna, viverra a posuere at, pellentesque et eros. Mauris ac sapien a est dictum volutpat. Fusce massa ipsum, ultricies ut commodo vitae, semper sit amet dui. Cras nec turpis eu enim vestibulum condimentum eu eget nunc. Pellentesque faucibus tempor mi eget tincidunt. Integer ipsum ante, eleifend id ante aliquam, feugiat efficitur sapien. Integer tellus nisi, auctor ut sapien id, eleifend ultricies nisl. Aliquam malesuada commodo laoreet. Quisque elementum interdum quam at luctus. Sed luctus molestie augue eu luctus."
Personal Accessory,D,Personal,"Vivamus vel massa erat. Aliquam commodo mattis volutpat. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Mauris nec orci ipsum. Ut at pharetra lectus. Fusce placerat fermentum elit. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Morbi et placerat lectus, quis iaculis enim. Aenean sagittis sapien sed justo suscipit egestas. In iaculis in risus condimentum rhoncus. Nulla condimentum ligula ac egestas consequat. Pellentesque mauris lacus, euismod eget faucibus aliquet, hendrerit eget odio. Phasellus dictum vestibulum neque, eu laoreet tortor commodo nec."
Bedding Equipment,D,Bedding,"Vivamus eu lacus magna. Fusce sollicitudin maximus ante sed semper. Nulla facilisi. Suspendisse ultricies mi eget nisi vehicula, at aliquam nunc interdum. Nulla neque tellus, ultrices non consequat vitae, vehicula vulputate orci. Vivamus iaculis urna non enim maximus condimentum. Aliquam porttitor egestas viverra. Suspendisse elementum magna mauris, vitae vestibulum orci porttitor quis. Interdum et malesuada fames ac ante ipsum primis in faucibus. Pellentesque vehicula efficitur libero. In bibendum scelerisque lectus, sed vulputate diam gravida nec. Nulla congue bibendum velit dictum pulvinar. Cras pharetra libero a tempor tincidunt. Mauris eget ullamcorper nibh."
Tire Instrument,D,Tire,"Nulla facilisi. Aliquam imperdiet bibendum nisi vitae condimentum. Suspendisse eleifend nibh in enim ornare, id tempus orci dapibus. Proin sed scelerisque neque. Vestibulum blandit mi quis leo euismod faucibus. Vestibulum eget libero eget nibh sodales vehicula vitae ut est. Integer vel commodo massa, eget imperdiet sapien. Mauris auctor elementum nibh, ac vehicula leo pellentesque quis. Cras pulvinar ipsum vulputate, hendrerit quam ut, ullamcorper lectus."
Toy Contraption,D,Toy,"Proin sodales sem vel leo facilisis euismod. Maecenas mollis metus metus, ut molestie orci interdum ac. Maecenas pharetra lorem quis erat dapibus pretium. In ullamcorper augue massa, tincidunt interdum mauris pulvinar non. Donec at diam in metus tincidunt tincidunt. Praesent mollis a lacus ornare fringilla. Nullam iaculis sed tellus fringilla pellentesque. Etiam at dolor eget dolor eleifend finibus quis sodales metus. Aliquam eleifend sed felis id pharetra. Integer ultrices odio in aliquet gravida. Morbi interdum placerat tortor et porttitor. In hac habitasse platea dictumst. Maecenas dignissim lobortis mi, in interdum ipsum varius eget. Curabitur quis risus a tortor sollicitudin fringilla id ac nibh."
Music Kit,D,Music,"Suspendisse dignissim tincidunt odio sed tempus. Fusce at nunc orci. Donec tempor tempus consectetur. Curabitur ullamcorper orci a eros ultrices vestibulum. Integer mollis odio efficitur, finibus magna et, sollicitudin lorem. Mauris interdum vitae quam ac ornare. Sed tellus est, iaculis quis justo vitae, fringilla consectetur nibh. Ut eleifend vehicula tempus. In gravida dolor dolor, id volutpat dui condimentum eu. Quisque iaculis lobortis porta. Donec tincidunt fringilla pretium. Interdum et malesuada fames ac ante ipsum primis in faucibus. Nullam sit amet efficitur nunc. Nulla efficitur lectus fermentum diam auctor vestibulum."
Kids Whatchamacallit,D,Kids,"Duis fermentum vestibulum elit aliquet pharetra. Aliquam vel malesuada metus. Suspendisse potenti. Morbi semper fermentum mauris, aliquam suscipit metus fermentum nec. Nunc eget libero sed dui iaculis eleifend quis sed tellus. Vivamus aliquet commodo magna id viverra. Morbi vitae neque vitae risus viverra elementum non et tellus. Maecenas laoreet tellus augue, id dictum magna dictum non. Suspendisse lorem augue, dapibus ac arcu quis, molestie accumsan enim. In lacus justo, sollicitudin vel orci vitae, ornare pretium odio. Etiam feugiat maximus nulla ut bibendum."
Cat Equipment,D,Cat,"Sed sagittis, metus eu fermentum ultrices, nibh risus malesuada felis, eu interdum ipsum felis nec nulla. Nam a imperdiet augue. Nam vestibulum lacus neque, quis maximus ipsum maximus at. Aliquam id tortor eu nulla bibendum pellentesque. Morbi eleifend libero vel augue gravida, nec maximus libero tincidunt. Morbi dui metus, dignissim pretium ultrices non, tincidunt sed enim. Nunc tristique elit fringilla arcu condimentum euismod. Nunc eget lacus nulla."
Skin Care Rig,D,Skin Care,"Donec auctor id lorem et condimentum. Pellentesque convallis turpis in felis gravida sollicitudin. Suspendisse quam erat, euismod eget velit sed, elementum venenatis lacus. Nunc ac ligula urna. Fusce interdum vehicula libero ac blandit. Morbi libero sem, fringilla ac nunc non, cursus pulvinar erat. Pellentesque rutrum lectus eu massa tempor hendrerit. Nulla non odio eget orci rhoncus tempor id at enim."
First Aid Accessory,D,First Aid,"Praesent ut nibh vitae eros vestibulum semper. Vivamus sed ligula sit amet justo placerat vulputate. Quisque faucibus aliquet dolor. Proin mattis turpis sed tempor cursus. Aliquam laoreet leo quam, eu tincidunt dolor consectetur sed. Sed congue vehicula lectus, sed iaculis felis rhoncus sit amet. Integer efficitur viverra sapien, sed venenatis eros sagittis at. In consectetur libero id mauris malesuada lobortis. Proin dignissim orci urna, eget congue ipsum pharetra sed. Integer sagittis congue diam, eget volutpat lacus luctus sit amet. Etiam viverra, lacus ac mollis suscipit, eros enim varius metus, a pulvinar velit nunc congue sapien. Sed id congue augue."
Camera Contraption,D,Camera,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Suspendisse luctus luctus metus et eleifend. Donec pharetra sem congue elementum venenatis. Nulla vitae odio urna. Ut sit amet eros orci. Praesent dictum ac dui a efficitur. Ut non hendrerit velit, nec mattis dolor. Ut venenatis elit quam, eget pulvinar augue finibus sed. Proin mi magna, venenatis eu sagittis vel, porttitor vel velit. Pellentesque nisl lacus, aliquam quis turpis ac, congue mollis arcu. Suspendisse eu nunc consequat, tincidunt diam eget, ornare diam. Curabitur iaculis vitae erat in eleifend."
Fitness Attachment,D,Fitness,In hendrerit dignissim ornare. Fusce et faucibus ipsum. Nullam luctus fringilla accumsan. Morbi in ullamcorper sapien. Morbi id mattis ex. Etiam et enim eros. Integer et metus in diam semper mollis eu quis eros. Phasellus a malesuada nisl.
Swimming Doodad,D,Swimming,"Aenean id posuere urna. Phasellus vehicula est ex, elementum consequat dui ornare non. Suspendisse libero risus, vulputate vitae ultricies nec, placerat ac tortor. Donec tincidunt ornare metus. Nunc nunc dolor, egestas in odio in, mattis facilisis est. Sed ac ligula eget orci consectetur interdum. Fusce elit metus, consequat ut tortor sit amet, porttitor feugiat nisl. Donec tempus maximus purus et ultricies. Nunc pretium elit non felis placerat placerat. Suspendisse cursus diam nulla, eu pellentesque ipsum viverra at. Nulla sit amet maximus lorem."
Cooking Widget,D,Cooking,"Vestibulum tristique quam eget neque euismod luctus. Suspendisse nec ex justo. Nam vehicula metus et luctus consequat. Aenean sed arcu luctus nibh laoreet pulvinar eget quis dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. In vitae dui mi. Suspendisse sit amet luctus lacus. Nunc placerat tempor ipsum. Cras pellentesque nunc at libero scelerisque, id ultricies turpis sagittis. Etiam vitae nisl vitae turpis vestibulum mollis eget non risus."
Engine Tool,D,Engine,"Proin sapien tortor, fermentum eu ante vel, faucibus euismod tellus. Aenean pretium mauris id velit elementum, eu scelerisque metus condimentum. Vivamus suscipit dolor in nisi dapibus fermentum. Mauris tortor augue, commodo sit amet ipsum ac, porttitor aliquet augue. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Vivamus facilisis ornare justo, sed faucibus quam ornare ac. In hac habitasse platea dictumst. Proin vitae ligula ut enim gravida viverra. Etiam purus leo, consequat ut congue a, posuere eu quam. Aenean vitae consequat elit. Pellentesque id ultricies ante, vel feugiat ipsum. Aenean pulvinar tincidunt neque, eget rhoncus nulla congue ut. Donec nulla urna, maximus ut tellus in, accumsan mollis sem."
Game Gizmo,D,Game,"Sed volutpat porttitor arcu, ac condimentum ligula. Aenean quis imperdiet mauris. Morbi sagittis sodales justo, ac auctor felis sagittis pulvinar. Cras sed arcu tempus, facilisis nisl vitae, convallis sem. Mauris odio dolor, maximus vel auctor et, molestie sed magna. Pellentesque vel ultrices felis. Cras et pulvinar lorem. Nunc dignissim maximus varius. Sed et diam volutpat nisi aliquet tempor. Phasellus non ligula congue, bibendum nisl et, viverra nulla. Maecenas ut lorem quis mi tempor finibus at sit amet dolor. Proin auctor urna sed erat lacinia, et aliquam lacus hendrerit. Cras diam sapien, dapibus non mi nec, pretium lobortis diam. Duis interdum lacinia felis, ultrices venenatis ex pharetra sit amet. Vestibulum sollicitudin dignissim mauris, vitae aliquet nisi vestibulum vitae."
Movie Gizmo,D,Movie,"Proin ut ex nec magna blandit maximus ac in magna. Sed lacinia maximus lacinia. Sed sollicitudin, sem non efficitur dictum, dui sapien sagittis neque, a rutrum turpis est eget neque. Suspendisse quis lorem a tellus volutpat tincidunt. In cursus lacus quis sem euismod, eu ultrices diam aliquam. Vivamus tellus mi, ullamcorper et volutpat sed, consequat quis ipsum. Pellentesque bibendum et dui non efficitur. Sed a feugiat erat, id iaculis leo."
Kids Thingamajig,D,Kids,"Nunc pharetra, tortor eu placerat sagittis, ligula eros gravida neque, luctus interdum purus ipsum et diam. Phasellus quis leo vitae sem commodo tempus a at odio. Nam venenatis metus nibh, malesuada vestibulum purus consectetur eu. Morbi at tincidunt leo, eu rutrum lorem. Pellentesque quis mollis tortor. Interdum et malesuada fames ac ante ipsum primis in faucibus. Phasellus sed erat ac lorem facilisis fermentum. Cras venenatis diam in mi sodales commodo. Integer vitae ipsum sed erat tincidunt euismod in a odio. Donec lacus sapien, mollis nec consequat at, sodales sit amet orci. Donec fermentum neque orci, ac lobortis metus suscipit non. Phasellus vehicula mauris vitae ante rhoncus, et volutpat sapien faucibus. Mauris auctor libero eu hendrerit consectetur. Pellentesque elementum, velit id iaculis fermentum, felis velit molestie neque, at pharetra leo risus vitae mi. In tempor tortor sit amet leo sollicitudin, ultrices commodo turpis posuere. Donec molestie fermentum velit, in blandit lectus pharetra vitae."
Beach Contraption,D,Beach,"Integer ut tellus leo. Aenean vehicula sem ut tortor iaculis dignissim. Fusce lorem est, molestie ut dictum id, pretium vel odio. Integer imperdiet justo quis tortor pharetra, non tempor urna ornare. Vivamus consectetur sem non egestas consequat. Integer tempus dolor lorem, at auctor turpis maximus tristique. Fusce feugiat vel tortor eget vulputate. Proin vitae venenatis nibh, at tempus nibh. Pellentesque tristique lorem nec lectus tristique ultrices. Suspendisse a leo porta, bibendum justo ut, gravida ex. Suspendisse potenti. Phasellus tempus ipsum consequat dui sagittis gravida. Donec interdum, enim eu porttitor facilisis, nunc nunc viverra dui, vitae viverra ipsum felis ac neque. Aliquam dapibus et lectus id tincidunt. Cras a mauris sed quam feugiat mollis id eu lorem."
Camera Tool,D,Camera,"Pellentesque fermentum facilisis hendrerit. Vivamus venenatis dapibus sem, sit amet placerat tortor blandit eget. Nullam id augue vitae nulla interdum pharetra ut et turpis. Etiam nisl mauris, feugiat malesuada mi sed, vestibulum commodo lectus. Donec convallis ac tortor vitae tincidunt. Praesent ut ligula elit. Morbi eget mi ex. Curabitur quis dignissim eros. Suspendisse id massa at velit maximus ultrices. Suspendisse euismod rhoncus sapien, sit amet pretium arcu mollis a. Cras commodo lacus erat, gravida congue ipsum condimentum nec. In lacinia nunc sagittis mauris ullamcorper interdum. Pellentesque ac risus consequat orci congue malesuada in nec mi. Donec eleifend id nunc quis semper. Sed consequat metus non accumsan rutrum."
Outdoors Component,D,Outdoors,"Sed volutpat porttitor arcu, ac condimentum ligula. Aenean quis imperdiet mauris. Morbi sagittis sodales justo, ac auctor felis sagittis pulvinar. Cras sed arcu tempus, facilisis nisl vitae, convallis sem. Mauris odio dolor, maximus vel auctor et, molestie sed magna. Pellentesque vel ultrices felis. Cras et pulvinar lorem. Nunc dignissim maximus varius. Sed et diam volutpat nisi aliquet tempor. Phasellus non ligula congue, bibendum nisl et, viverra nulla. Maecenas ut lorem quis mi tempor finibus at sit amet dolor. Proin auctor urna sed erat lacinia, et aliquam lacus hendrerit. Cras diam sapien, dapibus non mi nec, pretium lobortis diam. Duis interdum lacinia felis, ultrices venenatis ex pharetra sit amet. Vestibulum sollicitudin dignissim mauris, vitae aliquet nisi vestibulum vitae."
Cleaning Contraption,D,Cleaning,"Vivamus eget tempus libero. Nam facilisis, turpis sed finibus venenatis, sem dolor cursus libero, id hendrerit eros enim ut eros. In rhoncus ante at lacus maximus, at gravida velit viverra. Aliquam lobortis cursus erat quis dapibus. Phasellus blandit vestibulum elit, vitae tincidunt dui maximus nec. Cras hendrerit pellentesque nunc id gravida. Phasellus non turpis lacinia, vehicula diam sit amet, mattis enim."
Party Whatchamacallit,D,Party,"Aenean id posuere urna. Phasellus vehicula est ex, elementum consequat dui ornare non. Suspendisse libero risus, vulputate vitae ultricies nec, placerat ac tortor. Donec tincidunt ornare metus. Nunc nunc dolor, egestas in odio in, mattis facilisis est. Sed ac ligula eget orci consectetur interdum. Fusce elit metus, consequat ut tortor sit amet, porttitor feugiat nisl. Donec tempus maximus purus et ultricies. Nunc pretium elit non felis placerat placerat. Suspendisse cursus diam nulla, eu pellentesque ipsum viverra at. Nulla sit amet maximus lorem."
Swimming Apparatus,D,Swimming,"Quisque nec imperdiet lectus. Aliquam justo dolor, vestibulum ac sem nec, facilisis ornare arcu. Nulla cursus dignissim risus et vulputate. Sed placerat urna quis leo sollicitudin efficitur non vitae risus. Quisque fringilla maximus nulla condimentum eleifend. Proin commodo varius lorem nec venenatis. Aliquam ipsum massa, posuere vestibulum venenatis sit amet, sagittis ac nunc."
Gardening Attachment,D,Gardening,"Fusce commodo elit et dui efficitur, sit amet convallis ante ultrices. Morbi vel consequat lacus. Donec feugiat tellus in odio volutpat commodo. Nullam vestibulum augue id ipsum venenatis lobortis. Mauris mattis mauris vitae scelerisque condimentum. Integer et urna laoreet, ullamcorper dui faucibus, ullamcorper dui. Pellentesque venenatis dignissim felis luctus eleifend."
Medicine Accessory,D,Medicine,"Curabitur id nunc ac tortor facilisis lacinia sit amet nec sapien. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Phasellus malesuada tempor odio, sed imperdiet sapien. Phasellus sit amet hendrerit lectus, non egestas ligula. Ut et enim sit amet nunc pulvinar sagittis sit amet nec elit. Nulla sagittis turpis id hendrerit tincidunt. Mauris varius rutrum felis eget suscipit. Mauris feugiat nisi non dui vehicula, at ultricies leo luctus. Ut gravida lectus sed lorem feugiat, eleifend porta turpis egestas. Quisque id est turpis. Donec fringilla erat a neque dignissim, sit amet pharetra odio pulvinar. Vivamus dignissim in purus a eleifend. Vivamus hendrerit dapibus nunc at lobortis. Quisque bibendum fermentum sapien, id volutpat ex imperdiet vel. Mauris rhoncus, augue non faucibus vestibulum, enim lacus cursus elit, ac lobortis dolor lorem eu purus."
